vid,pid,uid,video_height,video_width,video_duration,video_ratio,video_format,music_title,music_duration,post_content,post_location,post_suggested_words,post_text_language,video_path,post_time,user_following_count,user_follower_count,user_likes_count,user_video_count,user_digg_count,user_heart_count,user_friend_count,popularity,total_frames,frame_rate,has_face,face_frame_rate,avg_faces_per_frame,multi_person_ratio,avg_face_area_ratio,max_face_area_ratio,close_up_ratio,dominant_emotion,emotion_distribution
VIDEO00003982,POST00002972,USER00004242,1024,576,72,540p,mp4,original sound - Ivy B ASMR,72,"ASMR,Hair,Play,and,Head,Scratching,for,Matt,Short,Hair,Sounds,Most,Relaxing,ASMR,Hairplay,for,Relaxation,and,Sleep,asmr,asmrsounds,asmrrealperson,asmrhairplay,asmrhairsounds,asmrheadmassage,asmrshorthair,asmrsharpordull,sharpordull,asmrroleplay,asmrvideo,asmrhairbrushing,ivybasmr",US,"['asmr', 'asmr sleep and relax', 'sharp or dull asmr', 'asmr massaging', 'asmr barber shop', 'asmr scratching', 'ASMR To Fall Asleep', 'asmr massaging head', 'asmr sleep', 'ivybasmr']",en,train/USER00004242/VIDEO00003982.mp4,2023-06-20 17:00,140,1800000,54000000,2476,435,54000000,0,12.49,1730.0,24.0,1,1.0139,1.0137,0.0137,0.0516,0.0936,0.0,none,{}
VIDEO00001614,POST00000777,USER00000594,1024,576,57,540p,mp4,neva end .,184,"My,new,page,so,dead,hopefully,this,video,will,get,all,my,babies,quickweave,fyp,bob,hairtok,FlexEveryAngle,trending",US,"['quick weave', 'quick weave tutorial', 'quick weave no leaveout', 'Quick Weave Bob', 'half up half down quickweave', 'middle part quickweave', 'Quick Weave With Closure', 'crimped bob', 'flip over quick weave', 'quick weave closure']",en,train/USER00000594/VIDEO00001614.mp4,2022-10-08 23:51,271,51700,5700000,154,418600,5700000,0,10.86,1711.0,30.0,1,0.2982,1.0,0.0,0.0712,0.1322,0.0,neutral,"{'happy': 0.2, 'neutral': 0.4, 'sad': 0.4}"
VIDEO00004631,POST00003577,USER00001518,1024,576,116,540p,mp4,Six Degrees,158,"ATE,DOWN,love,how,this,came,out,quickweave,sidepart,hairtutorial,hairtok,wiginstall,extensions,weaveextensions,tapeins,foryou,blackgirltiktok",US,"['organique quick weave', 'half up half down quickweave', 'side part quickweave', 'beauty supply hair quick weave', 'Quick Weave', 'Beauty Supply Quick Weave', 'Hair Weave', 'Quick Weave Hairstyles', 'Weave Hairstyles', 'Weave Install']",en,train/USER00001518/VIDEO00004631.mp4,2023-08-02 20:40,367,10300,209600,154,4400,209600,0,8.41,3487.0,30.0,1,0.75,1.0805,0.0805,0.0487,0.2271,0.0,neutral,"{'angry': 0.125, 'fear': 0.0625, 'happy': 0.0625, 'neutral': 0.625, 'sad': 0.125}"
VIDEO00004118,POST00003094,USER00002653,1024,576,39,540p,mp4,OKAY JT,37,"my,very,first,tiktok,taught,me,quickweave,quickweavetutorial,hairstyletutorial,hairstylistproblems,sidepart",US,[],en,train/USER00002653/VIDEO00004118.mp4,2023-06-30 15:59,108,53500,867900,30,18700,867900,0,8.52,1194.0,30.0,1,1.0256,1.15,0.15,0.079,0.1719,0.0,neutral,"{'happy': 0.1429, 'neutral': 0.5714, 'sad': 0.2857}"
VIDEO00001090,POST00000280,USER00002075,1024,576,174,540p,mp4,original sound,174,"Top,Pack,Hair,For,Quick,Weaves,blackhairtiktok,thetamedone69,dallastxcheck,blackowned,beautysupplymanager,facecardvalid,southernaccent,southerngirl,viral,fypage",US,"['remy blue for quick weave', 'remy blue hair', 'milky way quick weave', 'remy blue hair for quick weave', 'empire quick weave', 'empire hair bundles', 'half up half down quickweave', 'pink lemon bundles', 'organique quick weave', 'glossy hair bundles']",en,train/USER00002075/VIDEO00001090.mp4,2022-05-28 15:04,7762,39700,668400,2755,45700,668400,0,9.21,5245.0,30.0,1,1.0057,1.3429,0.28,0.0412,0.1483,0.0,sad,"{'angry': 0.1176, 'fear': 0.0588, 'happy': 0.2353, 'neutral': 0.2353, 'sad': 0.2941, 'surprise': 0.0588}"
VIDEO00002637,POST00001726,USER00002601,1024,576,14,540p,mp4,original sound,14,"Quick,weaves,are,my,new,sewins,fyp,wuickweave,sewin,hairstyle,sidepart,iknowyoulikethat",US,"['organique quick weave', 'quick weave', 'quick weave tutorial', 'quick weave no leaveout', 'quick weave hairstyle', 'Hair Weave', 'Weave Hairstyles', 'Sew-in Weave Hairstyles', 'Side Part Quick Weaves', 'side part sew in']",en,train/USER00002601/VIDEO00002637.mp4,2023-02-25 23:03,213,641,118800,590,11600,118800,0,8.25,425.0,30.0,1,0.7143,1.0,0.0,0.0755,0.1483,0.0,angry,{'angry': 1.0}
VIDEO00001997,POST00001126,USER00001082,1024,576,9,540p,mp4,original sound,9,"I,cant,believe,i,did,this,still,fyp,quickweave,hairtutorial",US,"['quick weave', 'weave', 'Quick Weave On Myself', 'Quick Weave Hairstyle', 'Hair Weave', 'Weave Hairstyles', 'DIY Quick Weave', 'Hairstyles With Weave', 'quick weave tutorial', 'Quick Hairstyles With Weave']",en,train/USER00001082/VIDEO00001997.mp4,2022-12-16 03:35,247,9307,569000,358,53800,569000,0,8.44,274.0,30.0,1,1.1111,1.0,0.0,0.0543,0.0853,0.0,none,{}
VIDEO00002799,POST00001882,USER00004445,1280,720,8,720p,mp4,Love Story (Sped Up),39,"fentybeauty,liquid,lipstick,in,shade,uncuffed,This,is,such,a,beauty,shade,makeup,lipstick,fentybeauty,fentybeautybyrihanna,rihanna,rihannamakeup",US,[],en,train/USER00004445/VIDEO00002799.mp4,2023-03-13 17:42,674,1159,4533,97,1542,4533,0,5.35,246.0,30.0,1,0.125,1.0,0.0,0.0136,0.0136,0.0,none,{}
VIDEO00002058,POST00001184,USER00002734,1024,576,20,540p,mp4,CUFF IT,60,Fentybeauty,FR,[],un,train/USER00002734/VIDEO00002058.mp4,2022-12-24 11:06,44,1107,2226,42,547,2226,0,3.93,630.0,30.0,1,1.05,1.0952,0.0952,0.1333,0.1572,0.0,none,{}
VIDEO00003282,POST00002324,USER00000864,1024,576,17,540p,mp4,Maria Maria (feat. The Product G&B) (sped up),36,"Fenty,Beauty",GB,"['fenty beauty lipstick', 'fenty red lipstick', 'hbic fenty beauty', 'Dark Red Lipstick', 'red lipstick', 'Fenty Beauty Red Lipstick', 'fenty beauty', 'lipstick', 'fenty lipstick', 'fenty']",en,train/USER00000864/VIDEO00003282.mp4,2023-04-26 18:27,2064,325800,13300000,1373,65600,13300000,0,10.51,537.0,30.0,1,1.0588,1.0,0.0,0.2604,0.3182,0.0556,neutral,{'neutral': 1.0}
VIDEO00004069,POST00003049,USER00004465,1024,576,24,540p,mp4,masquerade x mtr,23,"fenty,fentybeauty,fentyhighlighter,fentyhighlighterpalette,fentydiamondbomb,fentydiamond,fentydiamondbombhighlighter,fentyface",GB,[],un,train/USER00004465/VIDEO00004069.mp4,2023-06-27 18:08,10,167,17900,274,808,17900,0,2.95,727.0,30.0,1,0.625,1.0667,0.0667,0.2419,0.6214,0.2667,surprise,{'surprise': 1.0}
VIDEO00004432,POST00003389,USER00005161,1024,576,90,540p,mp4,original sound,90,"Replying,to,halsey0815,ESTE,ME,EMOCIONAAAAA,makeuphacks,fentybeauty,fullfaceofmakeup",US,[],es,train/USER00005161/VIDEO00004432.mp4,2023-07-20 16:54,112,7200000,259100000,2170,4233,259100000,0,10.3,2722.0,30.0,1,0.5778,1.0577,0.0577,0.2003,0.3846,0.2308,neutral,"{'angry': 0.125, 'fear': 0.25, 'happy': 0.125, 'neutral': 0.375, 'surprise': 0.125}"
VIDEO00004093,POST00003071,USER00002815,1024,576,11,540p,mp4,Touch My Body,60,"TELL,ME,THESE,ARENT,CUTIE,AF,im,getting,so,good,at,nails,nailcheck,worklife,fyp,thatgworl",US,[],en,train/USER00002815/VIDEO00004093.mp4,2023-06-29 03:28,78,251,20500,62,9772,20500,0,5.25,360.0,30.0,1,1.0909,1.1667,0.1667,0.1285,0.3205,0.0833,none,{}
VIDEO00002598,POST00001690,USER00002519,1024,576,15,540p,mp4,original sound,15,momlife,US,[],un,train/USER00002519/VIDEO00002598.mp4,2023-02-22 01:15,333,70,90,3,9995,90,0,1.96,451.0,30.0,1,1.0,1.8667,0.8667,0.1133,0.2346,0.0,happy,"{'angry': 0.25, 'happy': 0.5, 'sad': 0.25}"
VIDEO00003451,POST00002479,USER00004113,1280,720,60,720p,mp4,9am in Calabasas,60,"Beyond,blessed,nailprices,nailsoftiktok,summernails,freestylenailart,nailsart,baddienails,fypage",US,"['nail tech', 'Day In The Life Of A Nail Tech', 'nails', 'nails with prices', 'Nail Tech Life', 'Nails TikTok', 'nail vid', 'a day in the life', 'day in life', 'nails done']",en,train/USER00004113/VIDEO00003451.mp4,2023-05-10 14:38,115,720800,43000000,359,1350,43000000,0,12.38,3604.0,60.0,1,0.1167,1.0,0.0,0.0175,0.0307,0.0,none,{}
VIDEO00002535,POST00001630,USER00004459,1024,576,6,540p,mp4,оригинальный звук,10,"Oh,micky,ur,so,fine,fyp,viral,beginnernailtech,DanceWithTurboTax,nails",US,[],en,train/USER00004459/VIDEO00002535.mp4,2023-02-15 01:40,124,3237,286300,39,1331,286300,0,9.2,195.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{}
VIDEO00004526,POST00003478,USER00000404,1024,576,5,540p,mp4,original sound,30,"i,love,you,gisou,lipoil,gisou",US,[],en,train/USER00000404/VIDEO00004526.mp4,2023-07-26 20:36,1184,250400,12600000,780,53700,12600000,0,6.63,154.0,30.0,1,1.2,1.0,0.0,0.1715,0.2537,0.0,happy,{'happy': 1.0}
VIDEO00001293,POST00000467,USER00001625,1024,576,5,540p,mp4,THIS AND THIS DUPES,7,"This,is,exactlythe,same,lip,oil,and,i,stand,by,this,100,Girl,Cosmetics,diorlipoil,diorlipoildupe,lipoildupe,affordablelipoil,dupealert,easyaffordablemakeup,targetmakeupfinds,makeuponabudget,easyaffordablemakeup,diormakeup,drugstorevshighend",US,"['lip products', 'DIOR Lip Oil', 'lip oils', 'Dior Lip Products', 'Affordable Lip Oil', 'dior makeup', 'dior lip oil cost', 'dior lip oil price', 'Lip Products Recommendation', 'Trying Dior Lip Oil Dupes']",en,train/USER00001625/VIDEO00001293.mp4,2022-08-07 19:55,410,5500000,206300000,1598,89300,206300000,0,6.46,167.0,30.0,1,1.2,1.0,0.0,0.3224,0.3768,0.8333,fear,{'fear': 1.0}
VIDEO00002563,POST00001657,USER00001825,1024,576,59,540p,mp4,original sound,59,"Replying,to,itskaylachilds,FORGET,THE,DIOR,LIP,OIL,lipoil,makeup,beauty,greenscreen",US,[],en,train/USER00001825/VIDEO00002563.mp4,2023-02-17 23:48,335,16200000,1600000000,4521,13900,1600000000,0,12.15,1789.0,30.0,1,0.9322,1.0364,0.0364,0.3235,1.1014,0.7273,disgust,"{'disgust': 0.6667, 'sad': 0.3333}"
VIDEO00002360,POST00001468,USER00000888,1134,576,111,540p,mp4,original sound,111,"Replying,to,Jeffrey,Skin,Wyoming,Winter,Lip,Oil,review,AND,product,test,NO,color,tint,Would,you,use,this,daily",US,[],en,train/USER00000888/VIDEO00002360.mp4,2023-01-27 01:41,258,6100000,380600000,2620,58000,380600000,0,10.17,3355.0,30.0,1,0.9279,1.0874,0.0777,0.1551,0.6639,0.165,neutral,"{'angry': 0.1667, 'fear': 0.1667, 'happy': 0.1667, 'neutral': 0.3333, 'sad': 0.0833, 'surprise': 0.0833}"
VIDEO00002699,POST00001785,USER00005161,1024,576,83,540p,mp4,original sound,83,"Es,LIP,OIL,no,LIPGLOSS,los,han,probado,Que,opinan,makeuphacks",US,[],es,train/USER00005161/VIDEO00002699.mp4,2023-03-04 21:36,112,7200000,259100000,2170,4233,259100000,0,2.53,2500.0,30.0,1,1.012,1.0238,0.0238,0.372,0.6348,0.9762,surprise,"{'angry': 0.0833, 'happy': 0.1667, 'neutral': 0.25, 'sad': 0.1667, 'surprise': 0.3333}"
VIDEO00002264,POST00001376,USER00002728,1024,576,5,540p,mp4,boys are liars,8,"I,love,juicy,glossy,lips,Kylie,jenner,lip,tint,WIZARD,OF,OZ,TRANSFORMATIVE,LIP,TINT,Kiko,milano,Milano,Fruit,fetish,Blessed,moon,Jouer,lip,oil,Item,beauty,florence,by,mills,Morphe,Dior,lip,maximizer,Sheglam,Fenty,skin,Merit,itembeauty,itembeautylipoil,gisouhoneylipoil,fruitfetishlipoil,milanilipoil,sheglam,fentyskin,jouerbeauty,florencebymills",US,"['gisou lip oil', 'lip oils', 'Lip Products', 'item beauty lip oil', 'My Favorite Lip Oil', 'Lip Oil Recommendations', 'Milani Lip Oils', 'kylie jenner lip', 'fenty lip oil', 'kiko milano lip gloss']",en,train/USER00002728/VIDEO00002264.mp4,2023-01-17 19:31,362,11100,566100,499,3267,566100,0,10.2,153.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{}
VIDEO00002941,POST00002013,USER00000138,1280,720,35,720p,mp4,Elevator Music,60,"Replying,to,should,i,try,the,nyx,fat,oil,fyp,makeup,lipoil,deinfluencing",US,"['Clarins Lip Oil', 'rem beauty lip oil', 'ilia lip oil', 'Lip Oil', 'best lip oil', 'Clarins Lip Oil Chocolate', 'nyx fat oil', 'clarins lip oil cherry', 'rem beauty', 'essence lip oil']",en,train/USER00000138/VIDEO00002941.mp4,2023-03-27 00:03,648,1700000,254900000,3046,81400,254900000,0,11.24,1065.0,30.0,1,1.0286,1.0,0.0,0.2309,0.5651,0.0833,happy,"{'angry': 0.0909, 'fear': 0.0909, 'happy': 0.2727, 'neutral': 0.2727, 'sad': 0.1818, 'surprise': 0.0909}"
VIDEO00002806,POST00001889,USER00001493,1280,720,43,720p,mp4,original sound,43,"stitch,with,kbaby666xo,if,you,have,migrated,lip,filler,the,ONLY,way,to,resolve,this,issue,is,by,dissolving,it,Lip,filler,can,look,very,natural,when,its,done,right,lipfiller,lipfillermigration,lipfillerdissolving,lipfillerdissolved,injectorlina",US,[],en,train/USER00001493/VIDEO00002806.mp4,2023-03-14 11:13,656,129500,5500000,537,12700,5500000,0,7.08,1303.0,30.0,1,1.0233,1.0,0.0,0.1776,0.2193,0.0,surprise,"{'happy': 0.3333, 'surprise': 0.6667}"
VIDEO00002193,POST00001308,USER00000878,1024,576,22,540p,mp4,original sound,22,"Replying,to,Chloe,Fernandez,i,cant,stop,crying,I,HATE,idk,if,this,is,the,best,or,worst,decision,ive,ever,done",GB,"['dissolve lip filler', 'lips dissolved', 'getting lips dissolved', 'migrated lips', 'lipfillers', 'wrinkly lips after dissolving', 'lip dissolving video', 'crying lips', 'downturned lips', 'chapped lips']",en,train/USER00000878/VIDEO00002193.mp4,2023-01-08 20:16,704,444600,17000000,1664,17700,17000000,0,11.77,673.0,30.0,1,1.0455,1.1304,0.1304,0.2642,0.6868,0.4783,happy,"{'happy': 0.5, 'sad': 0.5}"
VIDEO00004566,POST00003516,USER00000662,1024,576,57,540p,mp4,Barbie World (with Aqua) [From Barbie The Album] [Extended],60,"i,was,running,out,of,ideas,to,tame,this,mane,so,thank,youuu,for,the,inspoooo",US,"['curly hairstyles', 'Wavy Hairstyles', 'creative curly hairstyles', 'curly hair', 'Hairstyles', 'hairstyles ideas curly hair', 'Hairstyle Ideas For Curly Hair', 'Hair Style Ideas', 'Curly Hair Styling Ideas', 'Curly Hairstyles Inspo']",en,train/USER00000662/VIDEO00004566.mp4,2023-07-30 06:10,155,10400,235600,197,2779,235600,0,8.67,1729.0,30.0,1,0.807,1.087,0.087,0.1219,0.3917,0.0217,angry,"{'angry': 0.2, 'fear': 0.2, 'happy': 0.2, 'neutral': 0.2, 'surprise': 0.2}"
VIDEO00004882,POST00003806,USER00004970,768,576,34,540p,mp4,original sound,34,"first,video,3,fyp,hellokitty,fyppppppppppppppppppppppp,xyzbca,viralvideo,curlyhair,hairstyleideas,curlyhairstyles",US,"['curly hairstyles', 'hairstyles ideas', 'ithinkitsbella', 'Hairstyles Ideas Curly Hair', 'hairstyles', 'Hairstyle Ideas For Curly Hair', 'curly hair', 'Curly Hairstyles Inspo', 'hair styles girls', 'curly hair styling']",en,train/USER00004970/VIDEO00004882.mp4,2023-08-19 20:49,2,626,24500,4,9,24500,0,8.37,1024.0,30.0,1,0.3824,1.0,0.0,0.0729,0.0935,0.0,none,{}
VIDEO00004294,POST00003259,USER00000904,1024,576,15,540p,mp4,original sound,24,"This,ones,super,cute,hairinspo,curlyhairtutorial,curlyhairstyles,clawcliphairstyles,braidedhair,braidedhalfup",US,"['Curly Hairstyles', 'Curly Hair Hairstyle', 'hairstyle', 'Braided', 'Braided Hairstyles', 'hairstyles with braids', 'Half Up Hairstyles', 'Hairstyle Ideas For Curly Hair', 'Curly Hair Styling', 'curly hair']",en,train/USER00000904/VIDEO00004294.mp4,2023-07-12 19:00,189,588400,25200000,478,33700,25200000,0,9.52,453.0,30.0,1,1.0667,1.0625,0.0625,0.1074,0.1587,0.0,fear,{'fear': 1.0}
VIDEO00004347,POST00003307,USER00000376,1024,576,24,540p,mp4,fukumean,58,"I,do,this,one,a,lot,it,s,just,so,cute,fyp,curls,curlyhairstyles,foryoupage",US,"['curly hairstyles', 'Hairstyle Ideas For Curly Hair', 'hairstyles', 'curly hair', 'curly hair hair styles', 'Curl Hairstyle Ideas', 'cute hairstyles curly hair', 'cute hairstyle', 'curly', 'Curly Hairstyle Inspo']",en,train/USER00000376/VIDEO00004347.mp4,2023-07-15 16:28,466,158000,9800000,282,109900,9800000,0,10.65,736.0,30.0,1,0.9583,1.2609,0.2609,0.0886,0.1895,0.0,happy,{'happy': 1.0}
